DateTime,Open,High,Low,Close,Instrument,TimeFrame,Source
2025-09-30 02:00:00,0.65776491,0.65811121,0.65767843,0.65780818,AUDUSD,1h,TwelveData
2025-09-30 03:00:00,0.65785146,0.65785146,0.65767843,0.65772164,AUDUSD,1h,TwelveData
2025-09-30 04:00:00,0.65763515,0.65832782,0.65763515,0.65832782,AUDUSD,1h,TwelveData
2025-09-30 05:00:00,0.65828454,0.65828454,0.65802461,0.65806788,AUDUSD,1h,TwelveData
2025-09-30 06:00:00,0.65802461,0.65802461,0.65776491,0.65793806,AUDUSD,1h,TwelveData
2025-09-30 07:00:00,0.65789473,0.65802461,0.65772164,0.65772164,AUDUSD,1h,TwelveData
2025-09-30 08:00:00,0.65793806,0.65802461,0.65776491,0.65798134,AUDUSD,1h,TwelveData
2025-09-30 09:00:00,0.65802461,0.65828454,0.65802461,0.65802461,AUDUSD,1h,TwelveData
2025-09-30 10:00:00,0.65785146,0.65819788,0.65746218,0.65806788,AUDUSD,1h,TwelveData
2025-09-30 11:00:00,0.65871811,0.65902197,0.65802461,0.65802461,AUDUSD,1h,TwelveData
2025-09-30 12:00:00,0.65785146,0.65945661,0.65785146,0.65945661,AUDUSD,1h,TwelveData
2025-09-30 13:00:00,0.6594131,0.65967411,0.65897858,0.65906543,AUDUSD,1h,TwelveData
2025-09-30 14:00:00,0.65919578,0.66102594,0.65889174,0.66085118,AUDUSD,1h,TwelveData
2025-09-30 15:00:00,0.66076386,0.66106963,0.66019672,0.66019672,AUDUSD,1h,TwelveData
2025-09-30 16:00:00,0.66037112,0.66063291,0.65971762,0.66015315,AUDUSD,1h,TwelveData
2025-09-30 17:00:00,0.66006601,0.66085118,0.65798134,0.66045839,AUDUSD,1h,TwelveData
2025-09-30 18:00:00,0.66050196,0.66150689,0.66050196,0.6612007,AUDUSD,1h,TwelveData
2025-09-30 19:00:00,0.6612007,0.66141945,0.66080755,0.66141945,AUDUSD,1h,TwelveData
2025-09-30 20:00:00,0.66155064,0.66155064,0.6609385,0.66111332,AUDUSD,1h,TwelveData
2025-09-30 21:00:00,0.66115701,0.66133195,0.66072017,0.66115701,AUDUSD,1h,TwelveData
2025-09-30 22:00:00,0.6612882,0.66176957,0.66115701,0.66146314,AUDUSD,1h,TwelveData
2025-09-30 23:00:00,0.66146314,0.66242713,0.66102594,0.66220778,AUDUSD,1h,TwelveData
2025-10-01 00:00:00,0.66233939,0.66304201,0.66220778,0.66299808,AUDUSD,1h,TwelveData
2025-10-01 01:00:00,0.66282231,0.66282231,0.66124445,0.66150689,AUDUSD,1h,TwelveData
2025-10-01 02:00:00,0.66150689,0.66229552,0.6613757,0.66216391,AUDUSD,1h,TwelveData
2025-10-01 03:00:00,0.66216391,0.66233939,0.66194481,0.66194481,AUDUSD,1h,TwelveData
2025-10-01 04:00:00,0.661901,0.6621201,0.6616382,0.66185719,AUDUSD,1h,TwelveData
2025-10-01 05:00:00,0.66172582,0.661901,0.66159445,0.66185719,AUDUSD,1h,TwelveData
2025-10-01 06:00:00,0.6616382,0.6616382,0.6613757,0.66155064,AUDUSD,1h,TwelveData
2025-10-01 07:00:00,0.66176957,0.66176957,0.66115701,0.6613757,AUDUSD,1h,TwelveData
2025-10-01 08:00:00,0.6616382,0.66176957,0.66146314,0.66159445,AUDUSD,1h,TwelveData
2025-10-01 09:00:00,0.66150689,0.66203249,0.66124445,0.66133195,AUDUSD,1h,TwelveData
2025-10-01 10:00:00,0.66115701,0.66115701,0.66054559,0.66063291,AUDUSD,1h,TwelveData
2025-10-01 11:00:00,0.66067654,0.66067654,0.65989178,0.66032749,AUDUSD,1h,TwelveData
2025-10-01 12:00:00,0.66032749,0.66037112,0.6596306,0.65989178,AUDUSD,1h,TwelveData
2025-10-01 13:00:00,0.65976119,0.65984827,0.65919578,0.65967411,AUDUSD,1h,TwelveData
2025-10-01 14:00:00,0.65976119,0.66054559,0.6594131,0.66054559,AUDUSD,1h,TwelveData
2025-10-01 15:00:00,0.66098225,0.66098225,0.66015315,0.66019672,AUDUSD,1h,TwelveData
2025-10-01 16:00:00,0.66041476,0.6613757,0.66024029,0.66106963,AUDUSD,1h,TwelveData
2025-10-01 17:00:00,0.66146314,0.66172582,0.66076386,0.6612882,AUDUSD,1h,TwelveData
2025-10-01 18:00:00,0.66141945,0.66216391,0.66141945,0.66168201,AUDUSD,1h,TwelveData
